div,year,intsq,ton,n_samples
IV,1968,44F0,109.71173372,
IV,1968,44F1,101.81660326,
IV,1968,44F5,38.224663338,
IV,1968,44F8,291.57599446,
IV,1968,44F9,2371.0920834,
IV,1968,44G0,6194.3660001,
IV,1968,44G1,3116.6815034,
IV,1968,45F0,580.0059833,
IV,1968,45F1,125.0988982,
IV,1968,45F4,13.204883699,
IV,1968,45F9,68.804394009,
IV,1968,45G0,245.65711181,
IV,1968,45G1,194.82995071,
IV,1968,46F0,264.56100323,
IV,1968,46F1,119.53894717,
IV,1968,47F0,278.34504849,
IV,1968,47F1,158.11110745,
IV,1968,48F0,238.38290046,
IV,1968,49F0,661.86583732,
IV,1968,49F1,350.97190884,
IV,1968,49F3,27.799755155,
IV,1968,50F0,118.84395329,
IV,1968,50F1,10.424908183,
IV,1969,33F3,115.99870584,
IV,1969,33F4,43.7094671,
IV,1969,34F1,99.071292885,
IV,1969,34F2,792.89839372,
IV,1969,34F4,59.049114965,
IV,1969,35F1,3.2805063869,
IV,1969,35F2,721.05530385,
IV,1969,35F3,103.33595119,
IV,1969,35F4,87.261469892,
IV,1969,35F5,68.890634126,
IV,1969,36F0,19.683038322,
IV,1969,36F1,516.3517053,
IV,1969,36F2,565.00161502,
IV,1969,36F3,580.64963049,
IV,1969,36F4,570.15201005,
IV,1969,36F5,202.73529471,
IV,1969,36F6,111.37319184,
IV,1969,36F7,681.36117657,
IV,1969,36F8,575.76758088,
IV,1969,37F0,45.927089417,
IV,1969,37F1,576.21001184,
IV,1969,37F2,673.91442707,
IV,1969,37F3,1309.3594492,
IV,1969,37F4,1170.9439498,
IV,1969,37F5,577.86120006,
IV,1969,37F6,1081.3095802,
IV,1969,37F7,1926.5425953,
IV,1969,37F8,2432.2221104,
IV,1969,38F0,105.9603563,
IV,1969,38F1,331.27646997,
IV,1969,38F2,640.90159779,
IV,1969,38F3,1500.0974635,
IV,1969,38F4,1407.1532192,
IV,1969,38F5,735.147422,
IV,1969,38F6,815.57137929,
IV,1969,38F7,1140.4377398,
IV,1969,38F8,526.02919914,
IV,1969,39F0,265.72101734,
IV,1969,39F1,505.50416418,
IV,1969,39F2,813.65306413,
IV,1969,39F3,1074.7141221,
IV,1969,39F4,2541.0857148,
IV,1969,39F5,1596.7318087,
IV,1969,39F6,1035.9047162,
IV,1969,39F7,3247.0128854,
IV,1969,39F8,392.95545756,
IV,1969,40F0,175.83514234,
IV,1969,40F1,280.48329608,
IV,1969,40F2,478.75710211,
IV,1969,40F3,710.51394332,
IV,1969,40F4,1246.7470795,
IV,1969,40F5,2500.6826857,
